zagats.csv:3	fodors.csv:3
zagats.csv:4	fodors.csv:4
zagats.csv:7	fodors.csv:38
zagats.csv:17	fodors.csv:12
zagats.csv:19	fodors.csv:10
zagats.csv:19	fodors.csv:15
zagats.csv:22	fodors.csv:20
zagats.csv:23	fodors.csv:21
zagats.csv:23	fodors.csv:28
zagats.csv:23	fodors.csv:52
zagats.csv:23	fodors.csv:58
zagats.csv:30	fodors.csv:34
zagats.csv:47	fodors.csv:44
zagats.csv:52	fodors.csv:45
zagats.csv:54	fodors.csv:48
zagats.csv:58	fodors.csv:50
zagats.csv:69	fodors.csv:21
zagats.csv:69	fodors.csv:58
zagats.csv:70	fodors.csv:60
zagats.csv:73	fodors.csv:61
zagats.csv:77	fodors.csv:69
zagats.csv:89	fodors.csv:81
zagats.csv:93	fodors.csv:85
zagats.csv:95	fodors.csv:96
zagats.csv:97	fodors.csv:100
zagats.csv:100	fodors.csv:118
zagats.csv:101	fodors.csv:121
zagats.csv:108	fodors.csv:147
zagats.csv:110	fodors.csv:148
zagats.csv:114	fodors.csv:160
zagats.csv:115	fodors.csv:172
zagats.csv:117	fodors.csv:184
zagats.csv:121	fodors.csv:199
zagats.csv:123	fodors.csv:203
zagats.csv:129	fodors.csv:210
zagats.csv:133	fodors.csv:216
zagats.csv:138	fodors.csv:231
zagats.csv:139	fodors.csv:236
zagats.csv:140	fodors.csv:238
zagats.csv:150	fodors.csv:255
zagats.csv:155	fodors.csv:264
zagats.csv:158	fodors.csv:270
zagats.csv:159	fodors.csv:271
zagats.csv:161	fodors.csv:278
zagats.csv:165	fodors.csv:289
zagats.csv:168	fodors.csv:296
zagats.csv:178	fodors.csv:311
zagats.csv:183	fodors.csv:324
zagats.csv:192	fodors.csv:427
zagats.csv:194	fodors.csv:404
zagats.csv:194	fodors.csv:406
zagats.csv:194	fodors.csv:414
zagats.csv:194	fodors.csv:426
zagats.csv:195	fodors.csv:416
zagats.csv:199	fodors.csv:421
zagats.csv:200	fodors.csv:414
zagats.csv:200	fodors.csv:426
zagats.csv:204	fodors.csv:406
zagats.csv:204	fodors.csv:414
zagats.csv:204	fodors.csv:426
zagats.csv:206	fodors.csv:436
zagats.csv:207	fodors.csv:410
zagats.csv:207	fodors.csv:417
zagats.csv:207	fodors.csv:427
zagats.csv:207	fodors.csv:431
zagats.csv:209	fodors.csv:430
zagats.csv:211	fodors.csv:431
zagats.csv:213	fodors.csv:422
zagats.csv:215	fodors.csv:433
zagats.csv:216	fodors.csv:404
zagats.csv:216	fodors.csv:406
zagats.csv:216	fodors.csv:414
zagats.csv:216	fodors.csv:417
zagats.csv:216	fodors.csv:426
zagats.csv:229	fodors.csv:348
zagats.csv:236	fodors.csv:353
zagats.csv:238	fodors.csv:359
zagats.csv:246	fodors.csv:364
zagats.csv:247	fodors.csv:365
zagats.csv:250	fodors.csv:370
zagats.csv:257	fodors.csv:336
zagats.csv:258	fodors.csv:378
zagats.csv:261	fodors.csv:397
zagats.csv:262	fodors.csv:382
zagats.csv:266	fodors.csv:384
zagats.csv:268	fodors.csv:388
zagats.csv:274	fodors.csv:346
zagats.csv:277	fodors.csv:398
zagats.csv:280	fodors.csv:399
zagats.csv:283	fodors.csv:439
zagats.csv:284	fodors.csv:440
zagats.csv:286	fodors.csv:446
zagats.csv:287	fodors.csv:449
zagats.csv:288	fodors.csv:437
zagats.csv:288	fodors.csv:454
zagats.csv:291	fodors.csv:452
zagats.csv:293	fodors.csv:456
zagats.csv:294	fodors.csv:442
zagats.csv:294	fodors.csv:504
zagats.csv:296	fodors.csv:490
zagats.csv:300	fodors.csv:460
zagats.csv:301	fodors.csv:445
zagats.csv:301	fodors.csv:462
zagats.csv:303	fodors.csv:470
zagats.csv:305	fodors.csv:481
zagats.csv:307	fodors.csv:485
zagats.csv:309	fodors.csv:490
zagats.csv:310	fodors.csv:488
zagats.csv:313	fodors.csv:491
zagats.csv:318	fodors.csv:505
zagats.csv:319	fodors.csv:506
zagats.csv:322	fodors.csv:509
zagats.csv:328	fodors.csv:445
zagats.csv:329	fodors.csv:499
